tag_id,tag_name
0,
1,#ROA
2,-Endsieg Weather
3,1.11
4,1394363298
5,1920s
6,2100
7,2PAC
8,2x
9,52 Chinese Localisation
10,69
11,=
12,A Biis Mod
13,AI
14,AI Fix
15,AI Only
16,Achievement Compatible
17,Acid
18,Advisor
19,Africa
20,Ages
21,Agrarian Society
22,Airforce
23,Alignment Triangle
24,Alliance
25,Alliances
26,Allies
27,Alternate History
28,Alternative
29,Alternative History
30,Aluminium
31,American Dictator
32,AncientGatekeeper
33,Anime
34,Annex Czechoslovakia
35,Annex Puppet
36,Anthem
37,Anthem Covers
38,Apocalyptic Water World
39,Arcade Map Mode
40,Argentina
41,Armenia
42,Army
43,Assets
44,Australia
45,Austria
46,Austria-Hungary
47,Autonomy Gain
48,Autonomy Loss
49,Axis
50,Azur Lane
51,BSR
52,Badger
53,Balance
54,Balancing
55,Balkan Powder Keg
56,Balkans
57,Battle Royale
58,Beautiful
59,Benito
60,Benito Mussolini
61,Benito Mussolini on a sled
62,Better
63,Better Portraits
64,Big Time Rush
65,Bikini Bottom
66,Bismarckreich
67,Black Ice in a nutshell
68,BlackICE Minor Nations
69,Blitzkrieg
70,Blue
71,Bread
72,Brian
73,British Empire
74,British Raj
75,Bro
76,Bromania
77,Buff
78,Building
79,Building Speed
80,Buildings
81,C
82,CCO Mod
83,Caesars Legion
84,Calm Before the Storm
85,Canada
86,Cancer
87,Censor
88,Cerda
89,Cheat
90,Chile
91,Chill
92,Chinese
93,Chromium
94,Churchill
95,Cities
96,Civilian
97,Ck3 LARP
98,Classified
99,Cold War Iron Curtain
100,Cold War Mod
101,Collin Joe
102,Colorize
103,Colors
104,Colours
105,Combat Tactics
106,Commando
107,Communism
108,Complete Focus
109,Complete Focus Sound
110,Construction
111,Construction Speed
112,Continuous Focus
113,Cores
114,Cosmetic
115,CotF
116,Counters
117,Countries
118,Country
119,Country Colours
120,Country Unions
121,Create Faction
122,Croatia
123,Crusader Kings
124,Custom
125,Custom difficulty
126,Custom models
127,Czechoslovakia
128,Daddy
129,Decisions
130,Define Masochism
131,Democracy
132,Democratic
133,Der Stabsberst26
134,Desicions
135,Dice
136,Diplomacy
137,Discord:tig
138,DoD
139,Dockyard
140,Dockyards
141,Don't Play Fascist Cuba
142,Donut Duel
143,Drew Durnil
144,Duel
145,Duo
146,EJB
147,EU4
148,EXRE
149,East Africa
150,Economy
151,Emperor of the World: Fan Fork
152,Empire
153,Endsieg: Ultimate Victory
154,Enter
155,Epic
156,Epic Obama
157,Equestria at War
158,Escalation '84 (EAW)
159,Ethiopia
160,Europe
161,Events
162,Expert AI
163,Extra Thicc
164,FRENCH MOD
165,Faces
166,Factions
167,Factories
168,Factory
169,Fallout
170,Fallout new vegas
171,Fascism
172,Fashies get out REE
173,Faster Building
174,Feminism
175,Field Marshal
176,Fiji
177,Finger Painted
178,Fix
179,Fixes
180,Fixes &amp; Tweaks
181,Focus
182,Focus Tree
183,Font
184,Fonts
185,Food
186,Foolz
187,For those who cannot stand life anymore
188,Forced Pause
189,Forced Slowdown
190,Formable Nations
191,France
192,Fuck you Daniel
193,Fuel System
194,Fujian Incident
195,Fun
196,Funny
197,GARANTEE_COST
198,GUI
199,Game
200,Game Balance
201,Gameplay
202,Gamer
203,Gamers rise up
204,Gangir Duel Mod
205,Garrison
206,Generic
207,Geopolitical Simulator
208,German
209,German Translation
210,Germany
211,Glorious
212,Google
213,Government Flags
214,Grain
215,Graphic
216,Graphical
217,Graphics
218,Greece
219,Guarantee Cost
220,Guarantee Independence
221,Guarantees
222,Guns
223,HGD
224,HOI3
225,HUD
226,Halo
227,Halo Reach
228,Hats
229,Have you been doing your lessons?
230,Hearts of Iron 3
231,Hearts of Iron IV: The Great War
232,Heavy Transport Planes
233,Hermitcraft
234,Hirohito
235,Historial
236,Historical
237,Historical Buff
238,Historical Poland: National Focus Tree &amp; More
239,History
240,Hitler
241,Hiwire
242,Hong Kong
243,Hotkeys
244,Hungary
245,Icons
246,Ideas
247,Ideologies
248,Ideology
249,If it happened in real life those countries would have home war
250,Immersion
251,In-Game Achievements
252,Independent Namibia
253,India
254,Individual behavior of Hanization
255,Insanity
256,Intelligence
257,Interface
258,Intermarrium
259,Ireland
260,Ironman Compatible
261,Italia
262,Italy
263,Japan
264,Japan events
265,Japanese
266,Japanese Language mod
267,Jerusalem
268,KR No Canadian Intervention
269,Kaiserreich
270,Kenya
271,Keyboard
272,King Tiger
273,Korean
274,L'Alcool Au Volant
275,Lag
276,Land
277,Leader
278,Leader Portraits
279,Leaders
280,Lee's mod
281,LianJi
282,Liberations
283,Linux
284,Lithuania
285,Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
286,Localisation
287,Localization
288,Luka
289,Luxembourg
290,MODS
291,MP
292,Made in China
293,Major
294,Major Mod
295,Malaya
296,Malaysia
297,Manpower
298,Map
299,Map Modes
300,Map/Strategicregions
301,Maps
302,Mark Zuckerburg
303,Mediterranean
304,Megnas
305,Meme
306,Memes
307,Mengkukuo
308,Mexico
309,Miedzymorze
310,Military
311,Military Factory Efficiency
312,Millenium Dawn
313,Millennium Dawn
314,Millennium Dawn Classic
315,Millennium Dawn: Modern Day Mod
316,Millitary
317,Miltary
318,Minor
319,Mod
320,Mod by Radhim
321,Modding
322,Models
323,Modern Day
324,Modifiers
325,Monarchy
326,Monuments
327,Moremod
328,Morinigo
329,Morocco
330,MtG
331,Multiplayer
332,Multiplayer Compatible
333,Mundus
334,Murder
335,Music
336,Mussolini
337,N.C.V.
338,NCR Infantry
339,Name
340,Name Changes
341,Namelist
342,Namibia
343,Napoleonic
344,National Anthem
345,National Focus
346,National Focuses
347,Naval
348,Naval Factories Per Line
349,Naval Production
350,Navy
351,Neptunia
352,New Countries
353,New Equipment
354,New Focus Tree
355,New Nations
356,New Units
357,New Zealand
358,News
359,Nice Job Team!
360,Nice fun
361,Nigeria
362,No Civil War
363,Non Plus Ultra
364,Non-Aligned
365,Noochlandia
366,North Africa
367,Not Ironman Compatable
368,Novum Vexillum
369,OWB
370,Offensive Doctrine
371,Old World Blues
372,Opaque Map Font Mod
373,Opening
374,Opera
375,Orbit
376,Ortiz
377,Overhaul
378,Overpowered
379,OwO
380,POUR UN BON MULTI
381,Paint_It
382,Pakistan
383,Paradrop Range
384,Paraguay
385,Parallel world
386,Paratrooper
387,Patch
388,Pensionism
389,Peru
390,Piano
391,Picture
392,Please fix this terrible game
393,Poker
394,Poland
395,Political
396,Political Power
397,Politics
398,Polska
399,Polski Crafter
400,Portrait
401,Portraits
402,Posadism
403,ProKosovich
404,Production Efficiency
405,Puppeteer
406,QWERTZ
407,QoL
408,Quality of Life
409,RGFX
410,Radio
411,Radio Station
412,Radio Stations
413,Rammstein
414,Realism
415,Realistic History
416,Reality
417,Red Flood
418,Release Foreign Territory
419,Renamed Countries
420,Renames
421,Research
422,Resources
423,Retro
424,Retrowave
425,Rework
426,Rhodesia
427,Rif
428,Rimmy
429,Rise of the Badgers
430,Rise up
431,Road to 56
432,Roles Reversed Start
433,Rolling
434,Romania
435,Royal Navy
436,Rule
437,Russia
438,S.T.A.L.K.E.R
439,STALKER
440,Samurai Jack
441,Sanity
442,Science Fiction
443,Scripted Diplomatic gui
444,Scripted GUI
445,Serbia
446,Shortcuts
447,Shorts
448,Shrek
449,Shrekoslovakia
450,Simple Color Change
451,Slavoj
452,Sled
453,Slight Buff
454,Smaller Naval Tech Tree
455,Soarin
456,Socialism
457,Some Nations are fascist sicne they shouldn't
458,Songs
459,Sound
460,Sounds
461,South Africa
462,South West Africa
463,Soviet
464,Spain
465,Spanish Civil War
466,Spy
467,States
468,Staunch Monarchist
469,Steam Feud 2022
470,Steel
471,Stellaris
472,Story
473,Strategy
474,Subjects
475,Submod
476,Submod EC
477,Sudan
478,Suppression
479,TNO
480,Tag
481,Tagrossemerelapute
482,Tank
483,Tannu
484,Tansport Planes
485,Technologies
486,Technology
487,Teep is gey no homo
488,Templates
489,Test
490,TfV
491,The House always Wins
492,The New Order
493,The New Order - Old World Blues
494,The Road to 56
495,Thicc
496,Those tags sucks so much i had to make my own ones
497,Time Travel
498,Toolbox
499,Total Conversion
500,Touhou
501,Traits
502,Translation
503,Tungsten
504,Turkey
505,Tutorial
506,Tuva
507,Tweaks
508,Twilight Sparkle
509,UI
510,UMC
511,US States
512,USA
513,USA States Redux
514,Ugarteche
515,Ultimatum
516,Unaligned
517,Union
518,United States of America
519,United UMC
520,Units
521,Upgrade
522,User Interface
523,Utilites
524,Utilities
525,Utility
526,VK
527,Vanilla
528,Vanilla++
529,Veneto
530,Version 0.1
531,Version 0.7.0
532,Version 1.11
533,Version Null
534,Victory Points
535,Vilnius
536,Voices
537,WARHAMMER 40k
538,WSG2
539,WTF
540,Warhammer
541,Water
542,Watterzold
543,Waves
544,Weapons
545,West Africa
546,What If Mussolini Was Competent
547,Wild Edits
548,William's Nightmare
549,Wilno
550,Winter Contingency
551,World Ablaze
552,World Politics
553,World War ii
554,World of Alternatives
555,Wwii
556,Yo Momma
557,You too Menexster
558,You will love it
559,YouTube
560,Yugoslavia
561,alive
562,alternate_history
563,art
564,beta
565,big dick energy
566,blackice
567,ceave
568,challenge
569,common
570,crt
571,debugging
572,despacito
573,dog
574,dowload please
575,drew
576,epicgamer
577,exploits xdddddddddddddddddddddddd
578,flags
579,for 1.12
580,game rules
581,gfs
582,gfx
583,good_mod
584,hard
585,hearts of iron iv
586,hearts of water
587,hot
588,in
589,iq 100
590,jesus
591,kavisgo
592,language
593,lend lease
594,lmao
595,menu
596,milk truk jus arive
597,minecraft
598,minecraft players are hot
599,model ports
600,modify_player
601,momobone
602,my name jeff
603,names
604,nations
605,niewiemjakitag
606,poprawka
607,prc
608,randomizer
609,reddit.com/u/tig1337
610,redone
611,redux
612,roblox
613,scan lines
614,scanlines
615,sexy
616,soundtrack
617,south america
618,sub mod
619,the
620,the us now owns guantanamo bay
621,tupac
622,ultimatums
623,von Brauchtisch
624,war
625,where is my supersuit
